"Subjects"
"Attendance Regularization - Jan'22 - High Priority"
"Leave application from 1932"
"Happy Work Anniversary!"
"Happy Birthday!"
"Attendance Regularization - Jan'22 - High Priority"
"Investment proofs submission for FY 2021-22"
"Happy Work Anniversary!"
"Happy Work Anniversary!"
"Security alert"
"Important | Vaccination Status Update"
"Happy Work Anniversary!"
"Happy Work Anniversary!"
"Happy Birthday!"
"Warm Welcome !"
"Warm Welcome !"
"Happy Work Anniversary!"
"Happy Work Anniversary!"
"Happy Birthday!"
"Security alert"
"Covid Awareness | Key Routes of Covid Transmission"
"Kudos to Siva Prasad Geetha Nagarajan!"
"Happy Birthday!"
"Timesheet approved for the week Jan 24 - Jan 30'2022"
"Happy Work Anniversary In Advance_ 30th Jan"
"Happy Work Anniversary In Advance_ 29th Jan"
"Happy Birthday In Advance_ 30th Jan"
"Happy Birthday In Advance_ 29th Jan"
"Leave application approved"
"Leave application from 1932"
"[Reminder]Timesheet is due for the week Jan 24 - Jan 30'2022"
"Message from CEO"
"Kudos to B&T - Follett Rhode Island Team!"
"Happy Work Anniversary!"
"Happy Work Anniversary!"
"Happy Work Anniversary!"
"Happy Work Anniversary!"
"Happy Birthday!"
"[Important] Attendance regularization for the month of January'22 | HR BERRY"
"Leave application approved"
"Kudos to Siva Prasad Gutti!"
"Happy Work Anniversary!"
"Team Aspire Wave-6 Automation training Daily status Report (25-01-2022)"
"Leave application from 1932"
"Happy Republic Day In Advance!!"
"Happy Birthday In Advance_ 26th Jan"
"Warm Welcome !"
"Happy Work Anniversary!"
"Happy Work Anniversary!"
"Happy Birthday!"
"Warm Welcome !"
